施設番号,施設名,住所,小学区,施設種別,料金
K02,アイリス入口中央公園,三重県亀山市アイリス町,亀山西小,地域停留所,¥500
101,市役所,三重県亀山市本丸町577番地,亀山西小,公共施設,¥500
102,関支所,三重県亀山市関町木崎919番地1,関小,公共施設,¥1000
103,加太出張所,三重県亀山市加太板屋4622番地1,加太小,公共施設,¥1500
104,総合保健福祉センター　あいあい,三重県亀山市羽若町545番地,亀山西小,公共施設,¥500
105,亀山市立医療センター,三重県亀山市亀田町466番地1,亀山西小,公共施設,¥500
106,歴史博物館,三重県亀山市若山町7番30号,亀山西小,公共施設,¥500
108,総合環境センター,三重県亀山市布気町442番地,神辺小,公共施設,¥500
109,斎場,三重県亀山市野村二丁目1番110号,亀山西小,公共施設,¥500
110,亀山消防署,三重県亀山市野村四丁目1番23号,亀山西小,公共施設,¥500
111,亀山消防署北東分署,三重県亀山市長明寺町842番地1,川崎小,公共施設,¥500
112,亀山消防署関分署,三重県亀山市関町木崎37番地1,関小,公共施設,¥1000
113,文化会館,三重県亀山市東御幸町63,亀山西小,公共施設,¥500
114,井田川地区南コミュニティセンター,三重県亀山市和田町813,井田川小,公共施設,¥500
115,井田川地区北コミュニティセンター,三重県亀山市みどり町55-2,井田川小,公共施設,¥500
116,御幸地区コミュニティセンター,三重県亀山市東御幸町220-3,亀山西小,公共施設,¥500
117,城西地区コミュニティセンター,三重県亀山市西丸町553-1,亀山西小,公共施設,¥500
119,城北地区コミュニティセンター,三重県亀山市亀田町466-18,亀山西小,公共施設,¥500
120,神辺地区コミュニティセンター,三重県亀山市太岡寺町1259,神辺小,公共施設,¥500
121,川崎地区コミュニティセンター,三重県亀山市川崎町2785-6,川崎小,公共施設,¥500
122,昼生地区コミュニティセンター,三重県亀山市下庄町3049-2,昼生小,公共施設,¥500
123,天神・和賀地区コミュニティセンター,三重県亀山市天神4丁目9-14,亀山南小,公共施設,¥500
124,東部地区コミュニティセンター,三重県亀山市阿野田町1672,亀山東小,公共施設,¥500
125,南部地区コミュニティセンター,三重県亀山市安知本町950-2,亀山南小,公共施設,¥500
126,白川地区北コミュニティセンター,三重県亀山市白木町2813-1,白川小,公共施設,¥500
127,白川地区南コミュニティセンター,三重県亀山市和田町813,白川小,公共施設,¥500
128,北東地区コミュニティセンター,三重県亀山市北町2-37,亀山東小,公共施設,¥500
129,本町地区コミュニティセンター,三重県亀山市本町2丁目7-38,亀山東小,公共施設,¥500
130,野村地区コミュニティセンター,三重県亀山市野村3丁目10-9,亀山西小,公共施設,¥500
131,野登地区コミュニティセンター,三重県亀山市両尾町1908-5,野登小,公共施設,¥500
132,関南部地区コミュニティセンター,三重県亀山市関町萩原172-3,関小,公共施設,¥1000
